date,type,amount,category,description
2025-11-16,expense,4292.31,Entertainment,Entertainment expense
2025-03-20,expense,217.65,Food,Food expense
2025-03-21,income,8459.01,Salary,Salary income
2025-02-27,expense,1978.4,Travel,Travel expense
2025-09-12,expense,3593.27,Subscriptions,Subscriptions expense
2025-12-14,income,25979.57,Freelancing,Freelancing income
2025-10-23,expense,4726.35,Snacks,Snacks expense
2025-10-30,expense,2573.06,Rent,Rent expense
2025-10-31,expense,2295.96,Subscriptions,Subscriptions expense
2025-04-13,expense,2964.69,Household,Household expense
2025-12-01,expense,1830.63,Education,Education expense
2025-10-21,expense,2327.62,Shopping,Shopping expense
2025-03-04,expense,4103.37,Shopping,Shopping expense
2025-12-11,expense,3599.52,Transport,Transport expense
2025-07-07,expense,4684.89,Rent,Rent expense
2025-12-29,income,30316.12,Part-time,Part-time income
2025-08-14,expense,2307.44,Food,Food expense
2025-03-19,expense,1029.05,Bills,Bills expense
2025-05-10,expense,4094.76,Household,Household expense
2025-10-17,expense,3670.29,Snacks,Snacks expense
2025-02-16,expense,526.84,Shopping,Shopping expense
2025-10-14,expense,3970.67,Education,Education expense
2025-10-03,expense,685.1,Health,Health expense
2025-05-07,expense,2011.93,Education,Education expense
2025-02-27,expense,689.77,Household,Household expense
2025-03-22,expense,4593.75,Bills,Bills expense
2025-11-06,expense,2063.78,Shopping,Shopping expense
2025-07-03,expense,3691.94,Entertainment,Entertainment expense
2025-07-21,expense,3295.03,Snacks,Snacks expense
2025-01-30,expense,224.96,Rent,Rent expense
2025-12-21,expense,4476.5,Health,Health expense
2025-06-29,expense,1466.74,Snacks,Snacks expense
2025-08-11,income,47467.76,Part-time,Part-time income
2025-10-31,expense,4309.61,Shopping,Shopping expense
2025-01-10,expense,1911.86,Transport,Transport expense
2025-02-06,expense,1319.46,Bills,Bills expense
2025-12-04,expense,3837.76,Groceries,Groceries expense
2025-05-05,expense,511.23,Travel,Travel expense
2025-01-17,income,49998.01,Freelancing,Freelancing income
2025-07-07,expense,2292.67,Household,Household expense
2025-03-09,expense,3754.62,Education,Education expense
2025-04-04,expense,4772.42,Snacks,Snacks expense
2025-01-11,expense,1916.47,Bills,Bills expense
2025-10-18,expense,245.6,Education,Education expense
2025-10-28,expense,548.32,Food,Food expense
2025-04-03,income,19511.7,Freelancing,Freelancing income
2025-06-11,expense,779.22,Rent,Rent expense
2025-02-07,expense,2360.04,Rent,Rent expense
2025-04-10,expense,2664.36,Household,Household expense
2025-01-23,expense,3032.15,Rent,Rent expense
2025-12-10,expense,3694.38,Rent,Rent expense
2025-06-14,expense,519.95,Groceries,Groceries expense
2025-10-26,expense,1848.94,Food,Food expense
2025-01-13,expense,2275.25,Subscriptions,Subscriptions expense
2025-10-04,income,20185.8,Freelancing,Freelancing income
2025-01-15,expense,588.12,Snacks,Snacks expense
2025-06-16,expense,3901.12,Fuel,Fuel expense
2025-01-06,expense,3158.18,Snacks,Snacks expense
2025-07-26,expense,3859.92,Transport,Transport expense
2025-04-15,expense,3193.55,Education,Education expense
2025-09-09,expense,4886.51,Rent,Rent expense
2025-04-06,expense,2559.12,Shopping,Shopping expense
2025-03-08,expense,3087.53,Entertainment,Entertainment expense
2025-06-12,expense,2296.99,Education,Education expense
2025-01-30,expense,3896.9,Transport,Transport expense
2025-07-19,expense,2816.67,Entertainment,Entertainment expense
2025-03-16,expense,255.35,Travel,Travel expense
2025-07-11,expense,1377.86,Household,Household expense
2025-04-16,income,9542.82,Gift,Gift income
2025-09-09,income,23262.33,Bonus,Bonus income
2025-12-22,expense,1900.95,Rent,Rent expense
2025-06-04,expense,2445.21,Rent,Rent expense
2025-06-24,expense,4933.09,Entertainment,Entertainment expense
2025-12-21,expense,958.54,Transport,Transport expense
2025-01-28,expense,4979.63,Transport,Transport expense
2025-02-21,expense,457.18,Bills,Bills expense
2025-01-23,expense,3474.64,Rent,Rent expense
2025-03-30,expense,4399.62,Rent,Rent expense
2025-03-26,expense,2692.42,Bills,Bills expense
2025-02-06,expense,1441.48,Bills,Bills expense
2025-07-19,income,29205.99,Gift,Gift income
2025-10-21,expense,4632.05,Health,Health expense
2025-01-29,expense,3208.0,Travel,Travel expense
2025-12-29,income,38950.81,Bonus,Bonus income
2025-11-15,income,34877.5,Part-time,Part-time income
2025-01-27,expense,2083.51,Fuel,Fuel expense
2025-02-01,income,42631.33,Bonus,Bonus income
2025-09-22,expense,1909.05,Bills,Bills expense
2025-02-17,expense,4319.43,Household,Household expense
2025-10-27,expense,1779.23,Snacks,Snacks expense
2025-08-06,expense,4445.31,Food,Food expense
2025-06-22,expense,4512.72,Travel,Travel expense
2025-11-25,expense,1469.78,Subscriptions,Subscriptions expense
2025-07-08,expense,2061.73,Rent,Rent expense
2025-11-18,expense,1776.44,Groceries,Groceries expense
2025-01-05,expense,3714.46,Health,Health expense
2025-03-31,expense,98.96,Rent,Rent expense
2025-12-20,expense,1190.34,Education,Education expense
2025-06-01,expense,354.64,Groceries,Groceries expense
2025-10-30,expense,3237.58,Subscriptions,Subscriptions expense
2025-07-08,expense,1626.05,Groceries,Groceries expense
2025-11-10,expense,2325.6,Subscriptions,Subscriptions expense
2025-09-06,expense,4440.61,Education,Education expense
2025-06-27,expense,2872.92,Entertainment,Entertainment expense
2025-02-28,expense,821.44,Rent,Rent expense
2025-10-14,expense,1433.6,Snacks,Snacks expense
2025-08-16,expense,630.16,Groceries,Groceries expense
2025-12-06,expense,784.55,Bills,Bills expense
2025-05-20,expense,893.63,Entertainment,Entertainment expense
2025-02-02,expense,919.03,Bills,Bills expense
2025-02-18,expense,1182.61,Household,Household expense
2025-09-02,expense,2284.57,Snacks,Snacks expense
2025-05-28,expense,515.68,Bills,Bills expense
2025-06-19,income,24139.53,Part-time,Part-time income
2025-06-08,expense,3595.61,Bills,Bills expense
2025-07-10,income,20369.3,Gift,Gift income
2025-04-04,expense,3683.33,Rent,Rent expense
2025-03-23,expense,1170.69,Entertainment,Entertainment expense
2025-11-13,expense,3119.06,Health,Health expense
2025-09-27,expense,4077.41,Fuel,Fuel expense
2025-01-15,expense,4541.88,Health,Health expense
2025-09-16,expense,4748.89,Subscriptions,Subscriptions expense
2025-06-13,expense,3067.19,Rent,Rent expense
2025-10-18,expense,2157.01,Snacks,Snacks expense
2025-04-30,expense,421.38,Food,Food expense
2025-06-30,expense,1514.93,Transport,Transport expense
2025-02-08,expense,4723.33,Subscriptions,Subscriptions expense
2025-09-27,income,5747.37,Gift,Gift income
2025-05-27,expense,1110.27,Entertainment,Entertainment expense
2025-07-05,expense,1923.61,Shopping,Shopping expense
2025-12-27,expense,3529.87,Household,Household expense
2025-11-22,expense,3032.08,Food,Food expense
2025-08-11,expense,2651.27,Education,Education expense
2025-01-22,expense,2183.78,Travel,Travel expense
2025-03-12,expense,3916.84,Snacks,Snacks expense
2025-12-29,expense,4138.01,Health,Health expense
2025-09-18,expense,1706.57,Snacks,Snacks expense
2025-12-23,expense,4262.57,Household,Household expense
2025-09-08,expense,3680.27,Subscriptions,Subscriptions expense
2025-10-08,expense,987.23,Fuel,Fuel expense
2025-09-14,expense,1746.7,Rent,Rent expense
2025-06-16,income,30188.49,Freelancing,Freelancing income
2025-10-01,expense,2605.77,Travel,Travel expense
2025-10-06,income,33800.81,Gift,Gift income
2025-03-06,expense,1256.87,Rent,Rent expense
2025-06-17,expense,937.24,Shopping,Shopping expense
2025-12-15,expense,4550.73,Rent,Rent expense
2025-07-07,expense,2131.79,Health,Health expense
2025-09-06,expense,3502.43,Snacks,Snacks expense
2025-03-14,expense,4230.18,Groceries,Groceries expense
2025-09-17,expense,2691.67,Travel,Travel expense
